1.0.0	38 Task Force Special	A Korean Odyssey	A Shop for Killers	A Time Called You	Alchemy of Souls	All of Us Are Dead	Big Mouth	Bloodhounds	Business Proposal	Coffee Prince	Crash Landing on You	Death's Game	Descendants of the Sun	Doom at Your Service 	Dr. Romantic	Dream High	Duty after School	Empress Ki	Extraordinary Attorney Woo	Flower of Evil	Ghost Doctor	Goblin 	Happiness	High School Return of a Gangster	Hit the Top	Hometown Cha-Cha-Cha	Hospital Playlist	Hwarang: The Poet Warrior Youth	IRIS	Itaewon Class	It's Okay to Not Be Okay	Juvenil Justice	Kill Me Heal Me	Kingdom	Love in the Moonlight	Lovely Runner	Marry My Husband	Misaeng: Incomplete Life	Miss Night and Day	Missing: The Other Side	Moon Lovers: Scarlet Heart Ryeo	Mouce	Move to Heven	Moving	Mr. Queen	Mr. Sunshine	My Dearest	My Holo Love	My Love from the Star	My Mister	Navillera	Oh My Venus	Our Beloved Summer	Our Blues	Perfect Marriage Revenge	Pyramid Game	Queen of Tears	Reborn Rich	Reply 1988	Secret Garden	Shooting Stars	Shopping King Louie	SKY Castle	Squid Game	Strong Girl Do Bong Soon	Sweet Home	Tale of the Nine Tailed	The Atypical Family	The Beauty Inside	The Glory	The Good Bad Mother	The Heirs	The King: Eternal Monarch	The Light in Your Eyes	The Scholar Who Walks the Night	The Uncanny Counter	The Worst of Evil	Tomorrow	True Beauty	Twenty-Five Twenty-One	Twinkling Watermelon	Vincenzo	W 	Weak Hero Class 1	Weightkifting Fairy Kim Bok Joo	Welcome to Waikiki	While You Were Sleeping	Wonderful World	K-Dramas
airport / plane				yes	no				yes		yes	yes	yes	no									no						yes	yes				no		yes					no			yes	no	no														yes		yes																			yes			no				yes	
ambulance				yes	no				yes		yes	yes	yes	yes							yes		yes						yes	yes				no		yes	yes																							yes		yes																			yes							yes	
amusement park				yes	no				yes		no	no	no	yes			yes						no							no				no		yes																					yes			no																		yes			yes							yes	
army				no					no		yes	no	yes	yes			yes				no	yes	yes						yes	no				yes		no			no								yes													yes																		yes			yes							yes	
bar									yes		yes		yes						yes		yes	yes								yes							yes									yes																																											
beach / costal area				yes					yes		yes	no	yes	yes			yes		yes				no							no						yes										yes	yes										yes			yes		yes																			yes							yes	
blooming trees 				yes					yes		no	yes	yes	yes									no							no						yes	yes																																									yes			yes							yes	
bridge				yes	no				yes		yes	yes		yes									no						yes	yes						yes			yes		yes																					yes																			yes							yes	
Buddhist temple				no					no		no	no	yes	no					yes				no							no						no																																										yes			no							no	
building construction				yes					no		no	no		no									yes							no						no																																													yes							yes	
bus stop / bus				yes	no				yes		yes	no	yes	yes					yes	yes			no						yes	yes				no		yes	yes	yes	yes				yes	yes			no				yes		yes			yes	yes	yes	yes	yes		yes	yes		yes		yes			yes	yes		yes			yes		yes		yes	yes	yes	yes	yes			yes	yes	
camping				no	no				yes		no	no	yes	no			yes						no							no						no																										yes																			no							no	
cemetery				yes					no		no	yes	yes	yes									no						yes	yes						yes	yes									yes											yes	yes		yes		yes																yes			yes							yes	
Christian church				yes	no				no		yes	yes	yes	yes									yes						yes	yes						yes																								yes																		yes			no							no	
cinema				yes	no				yes		yes	no	yes	no								yes	no							yes						no																										yes																			yes							yes	
college / university				yes					no		yes	no	yes	no								yes	no							yes						yes																																													yes							yes	
convenience store				yes	no				yes		yes	yes	no	yes									yes							yes				no		yes		yes	yes					yes													yes			yes		yes	yes		yes		yes			yes	yes		yes			yes		yes		yes	yes	yes	yes	yes			yes	yes	
countryside road				yes	yes				yes		yes	yes	yes	no			yes					yes	yes						yes	no						yes			yes		yes					yes											yes			yes		yes					yes											yes			yes							yes	
court				no					yes		yes	yes	no	yes					yes				yes							yes						no			yes																					no																					no							no	
crosswalk				yes					yes		yes	yes		yes						yes	yes	yes	no						yes	yes				no		yes	yes	yes	yes				yes	yes		yes					yes		yes			yes	yes	yes	yes			yes	yes		yes		yes			yes	yes		yes			yes				yes	yes	yes	yes	yes			yes	yes	
dormitory 				no					no		no	no	yes	yes			yes						no							yes						no																								no																					yes							yes	
elevator				yes	no				yes		yes	yes	yes	yes									yes							yes				no		yes		yes	yes							no														yes																					no							no	
hagwon / academy				yes					no		no	no		no							no		no							no						no																								no																					no							no	
hospital				yes					yes		yes	yes	yes	yes					yes	yes	yes		yes						yes	yes				yes		yes	yes	yes								yes														yes		yes																yes			yes							yes	
