"En","Ru","Ko","","","","","","","","","","","","","","","","","","","","","","",""
"Alchemy of Souls","Алхимия душ","환혼","","","","","","","","","","","","","","","","","","","","","","",""
"Business Proposal","Деловое предложение","사내맞선","","","","","","","","","","","","","","","","","","","","","","",""
"Crash Landing on You","Аварийная посадка любви","사랑의 불시착","","","","","","","","","","","","","","","","","","","","","","",""
"Death's Game","Игра смерти","이재, 곧 죽습니다","","","","","","","","","","","","","","","","","","","","","","",""
"Descendants of the Sun","Потомки солнца","태양의 후예","","","","","","","","","","","","","","","","","","","","","","",""
"Doom at Your Service ","Однажды разрушение постучалось в мою дверь","어느 날 우리 집 현관으로 멸망이 들어왔다","","","","","","","","","","","","","","","","","","","","","","",""
"Itaewon Class","Итэвон Класс","이태원 클라쓰","","","","","","","","","","","","","","","","","","","","","","",""
"Flower of Evil","Цветок зла","악의 꽃","","","","","","","","","","","","","","","","","","","","","","",""
"Goblin ","Guardian: The Lonely and Great God","쓸쓸하고 찬란하神 – 도깨비","","","","","","","","","","","","","","","","","","","","","","",""
"Ghost Doctor","Призрачный доктор","고스트 닥터","","","","","","","","","","","","","","","","","","","","","","",""
"Happiness","Счастье","해피니스","","","","","","","","","","","","","","","","","","","","","","",""
"Lovely Runner","Хватай Сон Чжэ и беги","선재 업고 튀어","","","","","","","","","","","","","","","","","","","","","","",""
"Marry My Husband","Выходи замуж за моего супруга","내 남편과 결혼해줘","","","","","","","","","","","","","","","","","","","","","","",""
"Moving","Перемещение","무빙","","","","","","","","","","","","","","","","","","","","","","",""
"Shopping King Louie","Король шопинга Луи","쇼핑왕 루이","","","","","","","","","","","","","","","","","","","","","","",""
"Strong Woman Do Bong Soon","Силачка До Бон Сун","힘쎈여자 도봉순","","","","","","","","","","","","","","","","","","","","","","",""
"Tale of the Nine Tailed","Сказание о кумихо","구미호뎐","","","","","","","","","","","","","","","","","","","","","","",""
"The Glory","Слава","더 글로리","","","","","","","","","","","","","","","","","","","","","","",""
"The Good Bad Mother","Плохая мать","나쁜엄마","","","","","","","","","","","","","","","","","","","","","","",""
"The Secret Garden","Таинственный сад","시크릿 가든","","","","","","","","","","","","","","","","","","","","","","",""
"Time Called to You","Время, позвавшее тебя","너의 시간 속으로","","","","","","","","","","","","","","","","","","","","","","",""
"Tomorrow","Завтра","내일","","","","","","","","","","","","","","","","","","","","","","",""
"Twinkling Watermelon","Мерцающий арбуз","반짝이는 워터멜론","","","","","","","","","","","","","","","","","","","","","","",""
"Uncounting Counter","Чудесный слух","경이로운 소문","","","","","","","","","","","","","","","","","","","","","","",""
"Vincenzo","Винченцо","빈센조","","","","","","","","","","","","","","","","","","","","","","",""
"Queen of Tears","Королева слез","눈물의 여왕","","","","","","","","","","","","","","","","","","","","","","",""
"airport/plane","аэропорт/самолет","공항/비행기","","","","","","","","","","","","","","","","","","","","","","",""
"ambulance","машина скорой помощи","구급차","","","","","","","","","","","","","","","","","","","","","","",""
"amusement park","парк с аттракционами","놀이 공원","","","","","","","","","","","","","","","","","","","","","","",""
"army","армия","군대","","","","","","","","","","","","","","","","","","","","","","",""
"beach","пляж","해변","","","","","","","","","","","","","","","","","","","","","","",""
"blooming trees ","цветущие деревья","피는 나무","","","","","","","","","","","","","","","","","","","","","","",""
"bridge","мост","다리","","","","","","","","","","","","","","","","","","","","","","",""
"Buddhist temple","буддистский монастырь","절","","","","","","","","","","","","","","","","","","","","","","",""
"building's construction","стройка","건물의 건설","","","","","","","","","","","","","","","","","","","","","","",""
"bus/bus stop","автобус/автобусная остановка","버스/버스 정류장","","","","","","","","","","","","","","","","","","","","","","",""
"camping","отдых на природе с палатками","천막생활","","","","","","","","","","","","","","","","","","","","","","",""
"cemetery/columbarium","кладбище/колумбарий","묘지/납골당","","","","","","","","","","","","","","","","","","","","","","",""
"Christian church","христианская церковь","기독교 교회","","","","","","","","","","","","","","","","","","","","","","",""
"cinema","кинотеатр","영화관","","","","","","","","","","","","","","","","","","","","","","",""
"college/university","колледж/университет","대학","","","","","","","","","","","","","","","","","","","","","","",""
"convenience store","круглосуточный магазин","편의점","","","","","","","","","","","","","","","","","","","","","","",""
"countryside road","загородная дорога","시골길","","","","","","","","","","","","","","","","","","","","","","",""
"court","суд","법정","","","","","","","","","","","","","","","","","","","","","","",""
"crosswalk","пешеходный переход","횡단 보도","","","","","","","","","","","","","","","","","","","","","","",""
"dormitory ","общежитие","기숙사","","","","","","","","","","","","","","","","","","","","","","",""
"elevator","лифт","엘리베이터","","","","","","","","","","","","","","","","","","","","","","",""
"game club","игровой клуб","게임 클럽","","","","","","","","","","","","","","","","","","","","","","",""
"hagwon/academy","академия дополнительных занятий","학원","","","","","","","","","","","","","","","","","","","","","","",""
"hospital","больница","병원","","","","","","","","","","","","","","","","","","","","","","",""
"hotel","отель","호텔","","","","","","","","","","","","","","","","","","","","","","",""
"Jeju island","остров Чеджу","제주도","","","","","","","","","","","","","","","","","","","","","","",""
"karaoke","караоке","노래방","","","","","","","","","","","","","","","","","","","","","","",""
"motel","мотель/дешевая гостиница","여관","","","","","","","","","","","","","","","","","","","","","","",""
"natural park","природный парк","자연 공원","","","","","","","","","","","","","","","","","","","","","","",""
"night club","ночной клуб","나이트 클럽","","","","","","","","","","","","","","","","","","","","","","",""
"office","офис","사무실/사무소","","","","","","","","","","","","","","","","","","","","","","",""
"ordinary inexpensive eatery","обычная недорогая забегаловка","저렴한 식당","","","","","","","","","","","","","","","","","","","","","","",""
"orphanage home","детский дом","고아원 집","","","","","","","","","","","","","","","","","","","","","","",""
"pharmacy","аптека","약국","","","","","","","","","","","","","","","","","","","","","","",""
"photo booth","фотобудка","사진 부스","","","","","","","","","","","","","","","","","","","","","","",""
"playground ","детская площадка","놀이터/운동장","","","","","","","","","","","","","","","","","","","","","","",""
"police station","полицейский участок","경찰서","","","","","","","","","","","","","","","","","","","","","","",""
"pretentious expensive restaurant","претенциозный дорогой ресторан","허세 비싼 레스토랑","","","","","","","","","","","","","","","","","","","","","","",""
"prison/jail","тюрьма","감옥","","","","","","","","","","","","","","","","","","","","","","",""
"public bathhouse","общественная баня","대중목욕탕","","","","","","","","","","","","","","","","","","","","","","",""
"river Han","река Хан","한강","","","","","","","","","","","","","","","","","","","","","","",""
"roof's room ","коморка на крыше","","","","","","","","","","","","","","","","","","","","","","","",""
"school","школа","학교","","","","","","","","","","","","","","","","","","","","","","",""
"shower","душ","샤워 설비","","","","","","","","","","","","","","","","","","","","","","",""
"slot machine","игровые автоматы","슬롯 머신","","","","","","","","","","","","","","","","","","","","","","",""
"stadium / pool / gym","стадион/бассейн/тренажерный зал","경기장/수영장/체육관","","","","","","","","","","","","","","","","","","","","","","",""
"study cube/room","учебная ячейка","스터디 큐브","","","","","","","","","","","","","","","","","","","","","","",""
"street snack cart","уличные торговые палатки","포장마차","","","","","","","","","","","","","","","","","","","","","","",""
"stylish designer interior","стильный дизайнерский интерьер","세련된 디자이너 인테리어","","","","","","","","","","","","","","","","","","","","","","",""
"taxi","такси","택시","","","","","","","","","","","","","","","","","","","","","","",""
"traditional hanok","традиционный корейский дом","한옥","","","","","","","","","","","","","","","","","","","","","","",""
"typical appartment","обычная квартира","전형적인 아파트","","","","","","","","","","","","","","","","","","","","","","",""
"underwater","под водой","수중","","","","","","","","","","","","","","","","","","","","","","",""
"amnesia","амнезия","기억력 상실","","","","","","","","","","","","","","","","","","","","","","",""
"back hug","объятья со спины","다시 포옹","","","","","","","","","","","","","","","","","","","","","","",""
"blind date","свидание вслепую","소개팅","","","","","","","","","","","","","","","","","","","","","","",""
"buckle up in the car","пристегнуться в машине","","","","","","","","","","","","","","","","","","","","","","","",""
"bulling","буллинг","","","","","","","","","","","","","","","","","","","","","","","",""
"car accident","авария","","","","","","","","","","","","","","","","","","","","","","","",""
"celebration of multiple dates","празднование круглых дат в днях","","","","","","","","","","","","","","","","","","","","","","","",""
"chat via messengers","переписка в мессенджерах","","","","","","","","","","","","","","","","","","","","","","","",""
"Christmas/New Year","Рождество","","","","","","","","","","","","","","","","","","","","","","","",""
"clench fists","сжать кулаки","","","","","","","","","","","","","","","","","","","","","","","",""
"coma","кома","","","","","","","","","","","","","","","","","","","","","","","",""
"comforting pat","успокаивающие похлопывания","","","","","","","","","","","","","","","","","","","","","","","",""
"commemoration of ancestors","почитание предков","","","","","","","","","","","","","","","","","","","","","","","",""
"cooking","приготовление еды","","","","","","","","","","","","","","","","","","","","","","","",""
"countdown","отсчет","","","","","","","","","","","","","","","","","","","","","","","",""
"divination","пророчество","","","","","","","","","","","","","","","","","","","","","","","",""
"exam","экзамен/тестирование","","","","","","","","","","","","","","","","","","","","","","","",""
"fireworks","фейерверк","","","","","","","","","","","","","","","","","","","","","","","",""
"first year ceremony","церемония первого года ","","","","","","","","","","","","","","","","","","","","","","","",""
"first snow","первый снег","","","","","","","","","","","","","","","","","","","","","","","",""
"fishing","рыбалка","","","","","","","","","","","","","","","","","","","","","","","",""
"fish kiss","рыбкин поцелуй","","","","","","","","","","","","","","","","","","","","","","","",""
"folding linen and clothes","складывать одежду и белье","","","","","","","","","","","","","","","","","","","","","","","",""
"foreign trip","поездка за границу","","","","","","","","","","","","","","","","","","","","","","","",""
"funeral","похороны","","","","","","","","","","","","","","","","","","","","","","","",""
"hair washing","мытье волос","","","","","","","","","","","","","","","","","","","","","","","",""
"corporative/afterpaty/hweshik","корпоратив/афтерпати","","","","","","","","","","","","","","","","","","","","","","","",""
