,Alchemy of Souls,Business Proposal,Crash Landing on You,Death's Game,Descendants of the Sun,Doom at Your Service ,Itaewon Class,Flower of Evil,Goblin ,Ghost Doctor,Happiness,Lovely Runner,Marry My Husband,Moving,Shopping King Louie,Strong Woman Do Bong Soon,Tale of the Nine Tailed,The Glory,The Good Bad Mother,The Secret Garden,Time Called to You,Tomorrow,Twinkling Watermelon,Uncounting Counter,Vincenzo,Queen of Tears
airport/plane,no,yes,yes,yes,yes,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,
ambulance,no,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
amusement park,no,yes,,no,yes,,no,,,,no,yes,,,,,,,,yes,,yes,yes,,,yes
army,,no,yes,no,yes,,no,,,,yes,no,,,,,,,,yes,,yes,yes,,,
beach,,yes,yes,no,yes,,no,,,,no,yes,,,yes,,,,,yes,,,yes,,,yes
blooming trees ,,yes,,yes,,,no,,,,no,yes,,,,,,,,,,yes,yes,,,
bridge,yes,yes,yes,yes,,,yes,,,,no,yes,,,yes,,,,,,,,yes,,,
Buddhist temple,,no,,no,no,,no,,,,no,no,,,,,,,,,,yes,no,,,
building's construction,,no,,no,,,no,,,,yes,no,,,,,,,,,,,yes,,,
bus/bus stop,,yes,,no,yes,,yes,,,,no,yes,,,yes,,yes,,,yes,,,yes,,,yes
camping,,yes,yes,no,yes,,no,,,,no,no,,,yes,,,,,,,,no,,,
cemetery/columbarium,,no,yes,yes,yes,,yes,,,,no,yes,,,yes,,,,,yes,,yes,yes,,,yes
Christian church,,no,yes,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,yes,no,,,
cinema,,yes,,no,yes,,yes,,,,no,no,,,yes,,,,,,,,yes,,,
college/university,,no,,no,no,,yes,,,,no,yes,,,,,,,,,,,yes,,,
convenience store,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,yes,yes,,,yes
countryside road,,yes,yes,yes,yes,,no,,,,yes,yes,,,yes,,yes,,,yes,,yes,yes,,,yes
court,,yes,,yes,no,,yes,,,,yes,no,,,,,,,,,,,no,,,
crosswalk,,yes,,yes,yes,,yes,,,,no,yes,,,yes,,,,,,,,yes,,,yes
dormitory ,,no,,no,yes,,yes,,,,no,no,,,,,,,,,,,yes,,,
elevator,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,,no,,,
game club,,no,,no,no,,no,,,,no,no,,,,,,,,,,,yes,,,
hagwon/academy,,no,,no,no,,no,,,,no,no,,,,,,,,,,,no,,,
hospital,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,yes,yes,,,
hotel,,yes,yes,no,yes,,no,,,,no,yes,,,,,,,,yes,,yes,,,,yes
Jeju island,,no,,no,no,,yes,,,,no,no,,,,,,,,yes,,,no,,,
karaoke,,yes,,no,,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
motel,,no,,no,no,,no,,,,yes,no,,,,,,,,,,,no,,,
natural park,,yes,,yes,yes,,no,,,,no,no,,,,,,,,yes,,,yes,,,yes
night club,,no,,yes,no,,yes,,,,no,no,,,,,,,,,,,no,,,
office,,yes,,yes,no,,yes,,,,no,no,,,yes,,,,,,,yes,no,,,yes
ordinary inexpensive eatery,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,yes,yes,,,yes
orphanage home,,yes,,no,,,yes,,,,no,no,,,,,,,,yes,,,no,,,
pharmacy,,yes,,no,yes,,no,,,,no,no,,,yes,,,,,,,yes,yes,,,yes
photo booth,,no,,no,,,no,,,,no,yes,,,,,,,,,,,no,,,
playground ,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,yes,,,yes,,,yes,,,
police station,,yes,,yes,,,yes,,,,yes,yes,,,,,,,,yes,,yes,yes,,,yes
pretentious expensive restaurant,,yes,yes,no,no,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,yes
prison/jail,,no,yes,yes,yes,,yes,,,,no,no,,,yes,,,,,,,yes,no,,,
public bathhouse,,no,,no,no,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,
river Han,,yes,,yes,,,yes,,,,no,yes,,,,,,,,yes,,,no,,,yes
roof's room ,,no,,yes,,,no,,,,,,,,,,,,,yes,,,,,,
school,,no,,yes,no,,yes,,,,yes,yes,,,,,,,,,,,yes,,,
shower,,yes,yes,no,yes,,no,,,,yes,yes,,,,,,,,,,,no,,,yes
slot machine,,no,,yes,no,,yes,,,,no,no,,,,,,,,,,,no,,,
stadium / pool / gym,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
street snack cart,,yes,yes,no,yes,,no,,,,no,yes,,,,,,,,,,yes,yes,,,yes
study cube/room,,no,,no,no,,no,,,,no,yes,,,,,,,,,,,no,,,
stylish designer interior,,yes,yes,yes,no,,yes,,,,no,yes,,,yes,,yes,,,yes,,yes,no,,,yes
taxi,,yes,,no,yes,,yes,,,,no,yes,,,,,,,,yes,,yes,yes,,,yes
traditional hanok,,no,yes,no,,,no,,,,no,yes,,,yes,,,,,,,yes,yes,,,yes
typical appartment,,yes,,yes,yes,,no,,,,yes,yes,,,yes,,,,,,,yes,yes,,,
underwater,,no,,yes,yes,,no,,,,no,yes,,,,,,,,,,,yes,,,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohol etiquette,,,,,,,yes,,,,,,,,,,,,,,,,,,,
amnesia,,no,,no,no,,no,,,,no,yes,,,yes,,,,,yes,,,yes,,,
back hug,,yes,yes,no,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
blind date,,yes,yes,no,yes,,yes,,,,no,yes,,,yes,,,,,yes,,,yes,,,yes
buckle up in the car,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,,,,yes
bulling,,no,,yes,yes,,yes,,,,no,yes,,,,,,,,,,,yes,,,
car accident,,yes,,yes,yes,,yes,,,,no,yes,,,yes,,,,,,,,,,,
celebration of multiple dates,,yes,,no,,,no,,,,no,no,,,,,,,,yes,,,,,,
chat via messengers,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,yes,yes,,,yes
Christmas/New Year,,yes,yes,no,yes,,yes,,,,no,yes,,,,,,,,yes,,,yes,,,
clench fists,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,,,,
